"Date","Change"
1972-08-25,NA
1972-08-28,-0.373
1972-08-29,-1.137
1972-08-30,0
1972-08-31,-1.543
1972-09-01,0.784
1972-09-05,-0.778
1972-09-06,0.784
1972-09-07,-0.396
1972-09-08,-0.766
1972-09-11,0.772
1972-09-12,0
1972-09-13,0
1972-09-14,0.781
1972-09-15,-0.775
1972-09-18,0.398
1972-09-19,-0.778
1972-09-20,-0.784
1972-09-21,-3.145
1972-09-22,-3.662
1972-09-25,-2.958
1972-09-26,-0.425
1972-09-27,-2.182
1972-09-28,2.667
1972-09-29,1.3
1972-10-02,4.731
1972-10-03,1.645
1972-10-04,2.015
1972-10-05,-2.768
1972-10-06,-4.062
1972-10-09,1.684
1972-10-10,0
1972-10-11,0.426
1972-10-12,-0.832
1972-10-13,0
1972-10-16,-2.521
1972-10-17,1.725
1972-10-18,7.172
1972-10-19,0.402
1972-10-20,-0.787
1972-10-23,-0.404
1972-10-24,0.406
1972-10-25,-1.975
1972-10-26,0.809
1972-10-27,0.394
1972-10-30,-0.392
1972-10-31,3.195
1972-11-01,4.651
1972-11-02,0.743
1972-11-03,-0.376
1972-11-06,0
1972-11-08,1.104
1972-11-09,0
1972-11-10,0
1972-11-13,-0.359
1972-11-14,-1.095
1972-11-15,-0.379
1972-11-16,0.38
1972-11-17,-0.379
1972-11-20,-0.366
1972-11-21,2.232
1972-11-22,0
1972-11-24,-0.359
1972-11-27,2.565
1972-11-28,-2.853
1972-11-29,-4.412
1972-11-30,-0.772
1972-12-01,1.541
1972-12-04,3.829
1972-12-05,1.461
1972-12-06,0
1972-12-07,-0.727
1972-12-08,-1.451
1972-12-11,1.108
1972-12-12,-1.095
1972-12-13,0.743
1972-12-14,0.362
1972-12-15,0.735
1972-12-18,-0.372
1972-12-19,0.373
1972-12-20,0.358
1972-12-21,-0.727
1972-12-22,0.732
1972-12-26,-1.44
1972-12-27,0.724
1972-12-29,0.732
1973-01-02,0.37
1973-01-03,-0.369
1973-01-04,-0.357
1973-01-05,-0.372
1973-01-08,-0.359
1973-01-09,-1.83
1973-01-10,-2.613
1973-01-11,2.306
1973-01-12,-0.383
1973-01-15,-1.124
1973-01-16,1.9
1973-01-17,0.367
1973-01-18,0
1973-01-19,-1.858
1973-01-22,-1.133
1973-01-23,-3.452
1973-01-24,1.592
1973-01-26,-0.784
1973-01-29,-3.547
1973-01-30,-1.622
1973-01-31,-1.665
1973-02-01,2.108
1973-02-02,0
1973-02-05,0
1973-02-06,-0.407
1973-02-07,1.241
1973-02-08,-1.645
1973-02-09,0
1973-02-12,3.344
1973-02-13,0
1973-02-14,0
1973-02-15,1.603
1973-02-16,2.389
1973-02-20,1.541
1973-02-21,-0.376
1973-02-22,-2.683
1973-02-23,0.402
1973-02-26,-0.787
1973-02-27,-0.793
1973-02-28,-1.191
1973-03-01,-0.809
1973-03-02,-0.816
1973-03-05,-2.451
1973-03-06,-4.628
1973-03-07,-2.635
1973-03-08,4.967
1973-03-09,-1.289
1973-03-12,0.427
1973-03-13,-3.045
1973-03-14,2.241
1973-03-15,-1.741
1973-03-16,-0.896
1973-03-19,-2.254
1973-03-20,-2.303
1973-03-21,-1.893
1973-03-22,-16.817
1973-03-23,1.138
1973-03-26,0.584
1973-03-27,3.979
1973-03-28,-1.634
1973-03-29,0.547
1973-03-30,0.544
1973-04-02,0.562
1973-04-03,0
1973-04-04,0
1973-04-05,-4.923
1973-04-06,0
1973-04-09,0
1973-04-10,0.566
1973-04-11,-0.562
1973-04-12,0
1973-04-13,0
1973-04-16,-1.719
1973-04-17,0
1973-04-18,-0.601
1973-04-19,2.943
1973-04-23,2.877
1973-04-24,2.776
1973-04-25,0
1973-04-26,-0.552
1973-04-27,-2.16
1973-04-30,-0.568
1973-05-01,-0.55
1973-05-02,-0.574
1973-05-03,0
1973-05-04,1.711
1973-05-07,-1.114
1973-05-08,0
1973-05-09,1.127
1973-05-10,0
1973-05-11,-1.114
1973-05-14,-3.934
1973-05-15,-0.601
1973-05-16,0
1973-05-17,1.184
1973-05-18,0.594
1973-05-21,-1.16
1973-05-22,0
1973-05-23,-1.749
1973-05-24,-1.194
1973-05-25,3.603
1973-05-29,5.238
1973-05-30,-2.761
1973-05-31,0
1973-06-01,0
1973-06-04,0
1973-06-05,-1.14
1973-06-06,-8.053
1973-06-07,-0.611
1973-06-08,0
1973-06-11,-1.266
1973-06-12,-4.461
1973-06-13,-6.663
1973-06-14,-12.141
1973-06-15,-2.431
1973-06-18,0.82
1973-06-19,3.316
1973-06-20,10.387
1973-06-21,1.454
1973-06-22,-2.136
1973-06-25,-3.647
1973-06-26,-10.61
1973-06-27,2.534
1973-06-28,-0.813
1973-06-29,0.82
1973-07-02,3.316
1973-07-03,3.18
1973-07-05,0
1973-07-06,0
1973-07-09,-3.082
1973-07-10,-0.818
1973-07-11,-1.588
1973-07-12,-1.644
1973-07-13,0
1973-07-16,11.639
1973-07-17,1.497
1973-07-18,5.901
1973-07-19,5.546
1973-07-20,6.575
1973-07-23,5.566
1973-07-24,12.286
1973-07-25,7.275
1973-07-26,-3.878
1973-07-27,-9.598
1973-07-30,3.912
1973-07-31,3.236
1973-08-01,-5.224
1973-08-02,-1.643
1973-08-03,-1.121
1973-08-06,-0.556
1973-08-07,-1.14
1973-08-08,-4.59
1973-08-09,1.209
1973-08-10,2.974
1973-08-13,0
1973-08-14,-4.048
1973-08-15,0
1973-08-16,1.209
1973-08-17,2.366
1973-08-20,-4.644
1973-08-21,-3.047
1973-08-22,0
1973-08-23,0.615
1973-08-24,5.02
1973-08-27,1.78
1973-08-28,0.576
1973-08-29,0
1973-08-30,-2.905
1973-08-31,1.201
1973-09-04,2.957
1973-09-05,0
1973-09-06,0
1973-09-07,-1.153
1973-09-10,0
1973-09-11,-2.311
1973-09-12,-6.56
1973-09-13,-1.278
1973-09-14,1.294
1973-09-17,1.905
1973-09-18,5.02
1973-09-19,5.948
1973-09-20,3.36
1973-09-21,0
1973-09-24,-2.716
1973-09-25,0.571
1973-09-26,1.093
1973-09-27,-1.082
1973-09-28,0
1973-10-01,-0.568
1973-10-02,-1.121
1973-10-03,0.577
1973-10-04,1.127
1973-10-05,1.661
1973-10-08,-0.558
